Id,Label,0,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,eigencentrality
0,Ingermina...,1844,1,3,4,0.375886,1.090343,1.466229,11,0.2,0.290536,35,0.012177,0.006257,0.002712,0,3,1,0,0.012421
1,Una ronda de don Ven...,1858,0,3,3,0,0.738205,0.738205,10,0.210728,0.288903,0,0,0.041384,0.001829,0,4,0,0,0
2,Las tres tazas...,1863,0,3,3,0,0.82298,0.82298,12,0.164336,0.252747,0,0,0.057444,0.001829,0,5,0,0,0
3,Manuela...,1866,3,3,6,0.979886,1.112005,2.091891,11,0.172285,0.256359,42.095238,0.011302,0.045718,0.004438,0,1,0,0,0.037946
4,Maria...,1867,3,3,6,1.193261,1.314021,2.507282,12,0.154882,0.243809,56.292857,0.05566,0.071876,0.009322,0,1,0,0,0.154335
5,Una holandesa en Ame...,1876,2,3,5,0.61881,1.247634,1.866444,12,0.182432,0.279375,25.333333,0.009679,0.059939,0.003116,0,3,0,0,0.013454
6,El Alferez Real...,1886,4,3,7,1.487525,1.242664,2.730189,9,0.221154,0.299465,613.316667,0.080817,0.060129,0.014627,0,1,0,0,0.264368
7,Transito...,1886,1,3,4,0.352609,0.922262,1.274871,9,0.228571,0.310251,16.75,0.023109,0.053805,0.002552,0,6,2,1,0.008625
8,Frutos de mi tierra...,1896,10,3,13,4.00484,1.638805,5.643645,11,0.172285,0.25346,254.869048,0.113202,0.055321,0.03805,0,1,0,0,0.749112
9,El Moro...,1897,0,3,3,0,1.08633,1.08633,10,0.203463,0.286837,0,0,0.047301,0.001829,0,7,0,0,0
10,Inocencia...,1904,4,3,7,1.886743,1.505899,3.392642,11,0.172285,0.25346,83.47381,0.070934,0.063908,0.026222,0,1,0,0,0.532318
11,Pax...,1907,9,3,12,3.891299,1.489514,5.380813,11,0.172285,0.255996,507.569048,0.169651,0.056125,0.046001,0,1,0,0,0.85136
12,Diana cazadora...,1915,7,3,10,2.977169,1.528066,4.505235,12,0.164875,0.259329,404.442857,0.145194,0.062412,0.045334,0,1,0,0,0.91337
13,La voragine...,1924,6,3,9,1.962986,1.194913,3.157899,12,0.173585,0.270785,138.435714,0.140704,0.168122,0.007371,0,1,6,0,0.081643
14,De sobremesa...,1925,2,3,5,0.746047,1.359551,2.105598,12,0.168498,0.261244,154,0.02435,0.206368,0.015199,0,1,0,0,0.279451
15,Cosme...,1927,5,3,8,2.491332,1.603291,4.094622,10,0.171004,0.240519,393.178571,0.038393,0.02964,0.046111,0,1,4,1,0.733086
16,La Marquesa de Yolom...,1928,7,3,10,2.788634,1.392127,4.180761,10,0.187755,0.262483,609.016667,0.05617,0.053829,0.0313,0,1,0,0,0.630567
17,Cuatro anos a bordo ...,1934,0,3,3,0,1.030516,1.030516,10,0.218182,0.309656,0,0,0.179273,0.001829,0,9,6,1,0
18,Las estrellas son ne...,1949,3,3,6,0.816578,1.16268,1.979258,9,0.227053,0.310621,77.083333,0.040777,0.19341,0.003794,0,8,6,1,0.020272
19,El Cristo de espalda...,1952,2,3,5,0.636496,0.971576,1.608072,8,0.258427,0.326837,246.428571,0.01012,0.003497,0.004324,0,1,2,0,0.04534
20,El Gran Burundun-Bur...,1952,0,3,3,0,0.921179,0.921179,12,0.170909,0.266324,0,0,0.206368,0.001829,0,10,0,0,0
21,El dia de odio...,1952,2,3,5,0.968212,1.333436,2.301647,9,0.231156,0.310128,146.5,0.051587,0.050302,0.004902,0,1,1,1,0.061835
