Novela,Anio_Novela,Ranking_Afinidad,Se_Parece_A,Anio_Destino,Fuerza_Similitud,Palabras_Compartidas
Ingermina...,1844,1,Una holandesa en Ame...,1876,0.3754,"ejército, buque, exclamar, carácter, religión, cariño, población, provincia, soldado, embarcación, desgraciado, patria, apoderar, consuelo, procurar"
Ingermina...,1844,2,El camino en la somb...,1965,0.3609,"soldado, jefe, proyecto, persecución, ímpetu, obtener, merced, establecer, ejército, oficial, vigilancia, diligencia, procurar, adquirir, acontecimiento"
Ingermina...,1844,3,Triptico de la infam...,2014,0.3534,"conquista, expedición, indígena, religión, soldado, conquistador, prisionero, español, concluir, proyecto, carácter, tribu, guardia, persecución, embarcación"
Manuela...,1856,1,La Marquesa de Yolom...,1928,0.3834,"compadre, amo, cura, monte, palo, baile, merced, caballero, cristiano, esclavo, exclamar, figurar, comadre, misa, vara"
Manuela...,1856,2,Maria...,1867,0.3681,"compadre, parroquia, amo, bosque, cura, escopeta, hacienda, esclavo, mula, exclamar, comadre, baile, vara, hamaca, estancia"
Manuela...,1856,3,Frutos de mi tierra...,1896,0.3606,"exclamar, compadre, cura, bogotano, cachaco, doña, caballero, baile, comadre, novio, criado, palo, amo, lindo, matrimonio"
Una ronda de don Ven...,1858,1,El Alferez Real...,1886,0.2628,"convento, hacienda, maestro, criada, celda, cigarro, pañuelo, coro, caballero, riqueza, honrado, seguida, hábito, campana, seda"
Una ronda de don Ven...,1858,2,Una holandesa en Ame...,1876,0.243,"hacienda, convento, exclamar, doña, celda, jefe, buque, artesano, criada, honrado, caballero, seguida, vago, bogotano, maestro"
Una ronda de don Ven...,1858,3,Frutos de mi tierra...,1896,0.2325,"exclamar, doña, cachaco, estudiante, ramo, diz, hacienda, portón, criada, caballero, coro, bogotano, maestro, lucir, lindo"
Las tres tazas...,1863,1,Frutos de mi tierra...,1896,0.2982,"caballero, taza, criado, chocolate, exclamar, moda, baile, cocinera, seda, almacén, mozo, salón, doctor, seguida, comedor"
Las tres tazas...,1863,2,Diana cazadora...,1915,0.2729,"baile, taza, caballero, chocolate, guant, vino, criada, verso, seda, chaleco, mozo, criado, exclamar, doña, músico"
Las tres tazas...,1863,3,De sobremesa...,1925,0.2524,"taza, verso, criado, salón, arte, escritorio, ciencia, alemán, seda, sabor, señorita, poeta, baile, español, diamante"
Maria...,1867,1,Inocencia...,1904,0.4422,"usté, exclamar, mamá, compadre, pañuelo, enjugar, doctor, papá, comedor, escopeta, lecho, sacerdote, rodar, replicar, comadre"
Maria...,1867,2,Pax...,1907,0.4374,"doctor, salón, exclamar, jefe, buque, huerto, bosque, sacerdote, comedor, acento, resplandor, aposento, rosal, dominar, sollozo"
Maria...,1867,3,Frutos de mi tierra...,1896,0.4341,"compadre, exclamar, doctor, lindo, usté, salón, comedor, seguida, mamá, diz, replicar, reponer, figurar, ramo, negra"
Una holandesa en Ame...,1876,1,Pax...,1907,0.465,"exclamar, buque, ejército, doña, hacienda, combate, soldado, aposento, matrimonio, vapor, jefe, revolución, acento, cubierta, adelantar"
Una holandesa en Ame...,1876,2,Frutos de mi tierra...,1896,0.407,"exclamar, reponer, tía, doña, matrimonio, hacienda, bogotano, novio, seguida, caballero, balcón, cariño, carácter, monja, replicar"
