Año,Época,Título,%_Verbos,%_Adjetivos,Total_Palabras
1967,2da Mitad S. XX (1951-1999),Cien anos de soledad,12.648328532582804,6.586189963133168,136437
2005,Siglo XXI (2000+),Ursua,11.11025257988633,6.677655866343859,116478
1973,2da Mitad S. XX (1951-1999),La mansion de Araucaima,11.854752580989675,8.306633440132906,8427
1970,2da Mitad S. XX (1951-1999),Los cortejos del diablo,11.84657663780621,7.595815726485624,67682
2007,Siglo XXI (2000+),Los ejercitos,16.131854619404574,5.512071697131642,42289
1985,2da Mitad S. XX (1951-1999),Celia se pudre,11.614275950995014,8.466456363140548,297031
1886,Siglo XIX,El Alferez Real,12.614684510557092,6.205808235265334,81746
1867,Siglo XIX,Maria,14.96260488872674,5.887449835826341,87712
1979,2da Mitad S. XX (1951-1999),Anos de fuga,13.826553872650829,7.107036117724533,118446
2008,Siglo XXI (2000+),El pais de la canela,11.74674437411115,6.5865424834778725,71722
1988,2da Mitad S. XX (1951-1999),La casa de las dos palmas,13.39758125472411,6.772801713277904,127008
1982,2da Mitad S. XX (1951-1999),La tejedora de coronas,11.405569721736612,7.5807008362377095,179614
1981,2da Mitad S. XX (1951-1999),Fiesta en Teusaquillo,15.023921325418623,5.486400283512005,45148
1977,2da Mitad S. XX (1951-1999),La otra raya del tigre,12.79772211320174,6.853861248989958,103956
1995,2da Mitad S. XX (1951-1999),Dulce compania,13.651509407609888,6.011692172629143,50119
1985,2da Mitad S. XX (1951-1999),El amor en los tiempos del colera,11.326628185352439,6.830316947366217,143273
2006,Siglo XXI (2000+),El crimen del siglo,14.27069907322163,5.736359172650832,130344
1992,2da Mitad S. XX (1951-1999),Un beso de Dick,16.008267180233922,4.011461318051576,42578
2002,Siglo XXI (2000+),Satanas,14.358066502463055,6.585591133004925,64960
1978,2da Mitad S. XX (1951-1999),Los parientes de Ester,16.92053521177902,3.38773805849567,55081
1977,2da Mitad S. XX (1951-1999),Que viva la musica,14.592394334783092,6.345489015278242,53802
1907,1ra Mitad S. XX (1900-1950),Pax,12.757262399259165,7.191603867911233,149021
2013,Siglo XXI (2000+),Lo que no tiene nombre,13.160692848567997,7.0588235294117645,29155
1962,2da Mitad S. XX (1951-1999),La rebelion de las ratas,13.379877293196724,7.608728503641913,66174
1924,1ra Mitad S. XX (1900-1950),La voragine,14.582609558787036,6.197578043575364,80596
1972,2da Mitad S. XX (1951-1999),Condores no entierran todos los dias,13.241598306430271,4.4297433183381845,37790
1856,Siglo XIX,Manuela,12.390134018061264,4.963160117726721,149159
1934,1ra Mitad S. XX (1900-1950),Cuatro anos a bordo de mi mismo,12.349235852953324,7.819083023543991,96840
2011,Siglo XXI (2000+),La luz dificil,13.782818184797929,5.788455865482316,30509
1986,2da Mitad S. XX (1951-1999),Los pecados de Ines de Hinojosa,11.51760951066884,6.432895244201011,215253
2004,Siglo XXI (2000+),Delirio,13.171335855143148,5.745117993817086,104158
1987,2da Mitad S. XX (1951-1999),La Ceniza Del Libertador,13.41655607166556,7.236023556735235,96448
1952,2da Mitad S. XX (1951-1999),El Gran Burundun-Burunda ha muerto,9.394916987961286,9.347706349830828,12709
2016,Siglo XXI (2000+),Historia oficial del amor,12.45767826861725,5.126318512344437,173965
1983,2da Mitad S. XX (1951-1999),Chango el gran putas,12.275277545660737,6.488002864987466,167540
1858,Siglo XIX,Una ronda de don Ventura Ahumada,11.066889202721788,5.7773783540891,7789
1954,2da Mitad S. XX (1951-1999),Siervo sin tierra,13.494247354521782,4.668599604794179,54149
2017,Siglo XXI (2000+),La perra,15.130990415335463,4.771033013844515,23475
1997,2da Mitad S. XX (1951-1999),Perder es cuestion de metodo,15.602078239608803,4.733343520782396,78528
2001,Siglo XXI (2000+),El desbarrancadero,12.981627835368984,6.080262752745561,48715
1927,1ra Mitad S. XX (1900-1950),Cosme,14.097250303275374,6.35614638091387,39568
1886,Siglo XIX,Transito,16.044971507777607,5.224087478823349,32465
1876,Siglo XIX,Una holandesa en America,14.047497879558948,6.281594571670908,58950
1925,1ra Mitad S. XX (1900-1950),De sobremesa,11.509688496443465,9.032376747608534,65232
1965,2da Mitad S. XX (1951-1999),El camino en la sombra,14.318822194845273,6.667235890367515,81983
2023,Siglo XXI (2000+),Solo un poco aqui,14.631013295082319,5.617761031064677,46709
2021,Siglo XXI (2000+),Los abismos,13.709826376062061,5.882896195049871,43312
1863,Siglo XIX,Las tres tazas,12.46254004340188,6.489614549963832,9677
1975,2da Mitad S. XX (1951-1999),Estaba la pajara pinta,14.221827575072652,4.8974814336454635,123880
1984,2da Mitad S. XX (1951-1999),Sin remedio,14.086755911726314,7.493549464226088,164715
2015,Siglo XXI (2000+),La forma de las ruinas,13.67030998462786,5.198082719052979,165234
2012,Siglo XXI (2000+),La carroza de Bolivar,14.295604741424524,6.235183048358334,95330
