Año,Época,Título,%_Verbos,%_Adjetivos,Total_Palabras
1967,2da Mitad S. XX (1951-1999),Cien anos de soledad,12.556488516971504,6.628936376466562,140294
2005,Siglo XXI (2000+),Ursua,11.201929518960203,6.57744874715262,119408
1973,2da Mitad S. XX (1951-1999),La mansion de Araucaima,12.05485766970151,8.585916791517805,8677
1970,2da Mitad S. XX (1951-1999),Los cortejos del diablo,11.95614690499454,7.375423874935342,69596
2007,Siglo XXI (2000+),Los ejercitos,17.06570988293199,5.441707490972654,43479
1985,2da Mitad S. XX (1951-1999),Celia se pudre,11.797990255985164,8.548456323944261,305213
1886,Siglo XIX,El Alferez Real,12.870850992904423,5.887185104052574,83996
1867,Siglo XIX,Maria,15.621018408681516,5.628047976802425,91044
1979,2da Mitad S. XX (1951-1999),Anos de fuga,14.110760918505177,6.961647087716425,122155
2008,Siglo XXI (2000+),El pais de la canela,12.121871303685777,6.36955664622789,73553
1988,2da Mitad S. XX (1951-1999),La casa de las dos palmas,13.687440837888179,6.746007511679745,130996
1982,2da Mitad S. XX (1951-1999),La tejedora de coronas,11.257637722108472,7.63907272245963,185101
1981,2da Mitad S. XX (1951-1999),Fiesta en Teusaquillo,15.702940545181368,5.247907276239537,46590
1977,2da Mitad S. XX (1951-1999),La otra raya del tigre,13.050420168067228,6.73482726423903,107100
1995,2da Mitad S. XX (1951-1999),Dulce compania,14.260744596143017,6.111747684061292,51491
1985,2da Mitad S. XX (1951-1999),El amor en los tiempos del colera,11.409519023787373,6.895146778213129,147263
2006,Siglo XXI (2000+),El crimen del siglo,14.338066200798208,5.670539012774292,134802
1992,2da Mitad S. XX (1951-1999),Un beso de Dick,16.85083502312547,4.098790184775923,43891
2002,Siglo XXI (2000+),Satanas,15.441253498151777,6.472516125170231,66821
1978,2da Mitad S. XX (1951-1999),Los parientes de Ester,17.142807097440926,3.2982431556637644,57091
1977,2da Mitad S. XX (1951-1999),Que viva la musica,15.166211252058414,6.286531188360689,55261
1907,1ra Mitad S. XX (1900-1950),Pax,13.024281116722051,7.2300426489442415,152876
2013,Siglo XXI (2000+),Lo que no tiene nombre,13.810082063305979,7.057444314185228,29855
1962,2da Mitad S. XX (1951-1999),La rebelion de las ratas,13.401834538719351,7.817369318515905,68028
1924,1ra Mitad S. XX (1900-1950),La voragine,15.312941627344367,5.868404033629548,83498
1972,2da Mitad S. XX (1951-1999),Condores no entierran todos los dias,13.20295278617932,4.329215153534629,39014
1856,Siglo XIX,Manuela,12.84958279299459,4.898416316265179,152682
1934,1ra Mitad S. XX (1900-1950),Cuatro anos a bordo de mi mismo,13.193565694502091,8.065152910925969,98783
2011,Siglo XXI (2000+),La luz dificil,14.217359405403682,5.936393505374972,31349
1986,2da Mitad S. XX (1951-1999),Los pecados de Ines de Hinojosa,11.661697448835044,6.118658625977542,222369
2004,Siglo XXI (2000+),Delirio,13.773597254817627,5.699806453422596,106951
1987,2da Mitad S. XX (1951-1999),La Ceniza Del Libertador,14.287884003969136,7.076608412142322,98762
1952,2da Mitad S. XX (1951-1999),El Gran Burundun-Burunda ha muerto,9.021113243761997,9.481765834932823,13025
2016,Siglo XXI (2000+),Historia oficial del amor,13.14899364820665,4.992130027572811,179162
